X (m),Y (m),Z (m),RX_sim,delta
-64.484,-10.839,2029,-77.8,10.1
-61.249,-10.89,2029,-84.82,17.42
-58.113,-10.829,2029,-86.01,22.01
-54.878,-10.88,2029,-82.19,17.29
-51.744,-10.929,2029,-80.91,14.11
-48.61,-10.979,2029,-79.87,11.57
-45.476,-11.028,2029,-95.98,25.38
-42.241,-11.079,2029,-84.41,14.11
-39.107,-11.129,2029,-78.01,8.61
-35.971,-11.067,2029,-73.44,3.64
-32.837,-11.117,2029,-70.83,-1.37
-29.501,-11.169,2029,-68.68,-4.62
-26.266,-11.22,2029,-66.99,-8.11
-23.134,-11.381,2029,-65.85,-9.75
-19.901,-11.542,2029,-65.14,-10.76
-16.666,-11.593,2029,-64.36,-12.04
-13.53,-11.532,2029,-63.71,-12.49
-10.293,-11.472,2029,-62.8,-13.1
-7.058,-11.523,2029,-63.11,-11.89
-3.823,-11.574,2029,-63.01,-10.79
-0.689,-11.624,2029,-62.82,-3.98
2.445,-11.673,2029,-62.78,-6.12
5.682,-11.613,2029,-62.73,-11.57
8.816,-11.663,2029,-62.7,-13.1
11.952,-11.601,2029,-62.77,-13.53
15.086,-11.651,2029,-62.83,-14.67
18.221,-11.589,2029,-62.97,-17.13
21.456,-11.64,2029,-63.03,-17.67
24.59,-11.69,2029,-63.2,-18.5
27.724,-11.739,2029,-63.36,-19.34
30.862,-11.567,2029,-63.55,-20.15
37.13,-11.666,2029,-64.01,-18.39
40.264,-11.715,2029,-64.23,-17.27
43.499,-11.766,2029,-64.36,-15.34
46.635,-11.705,2029,-64.64,-17.96
49.872,-11.645,2029,-64.93,-14.97
53.107,-11.696,2029,-65.18,-11.22
56.241,-11.745,2029,-65.42,-15.08
59.375,-11.795,2029,-65.69,-11.81
62.61,-11.846,2029,-66.04,-12.56
65.745,-11.784,2029,-66.31,-12.99
68.982,-11.725,2029,-66.61,-10.69
72.217,-11.776,2029,-66.94,-7.96
75.351,-11.825,2029,-67.23,-5.47
78.586,-11.876,2029,-67.56,-6.04
81.72,-11.925,2029,-67.83,-9.67
84.861,-11.532,2029,-68.18,-6.82
87.896,-11.469,2029,-68.18,-5.62
90.106,-12.39,2029,-68.83,-7.07
91.586,-14.74,2029,-69.44,-7.86
92.137,-18.295,2029,-70.41,3.41
91.574,-21.942,2029,-71.53,0.43
90.01,-24.909,2029,-72.43,1.13
87.559,-26.422,2029,-72.43,-1.87
84.223,-26.369,2029,-72.35,0.75
80.394,-25.533,2029,-72.04,0.94
76.763,-24.922,2029,-71.22,0.22
73.23,-24.534,2029,-70.95,-0.65
69.794,-24.369,2029,-70.63,-2.07
66.46,-24.206,2029,-70.52,-2.68
63.021,-24.262,2029,-70.07,-3.13
59.685,-24.21,2029,-70.02,-3.98
56.449,-24.159,2029,-69.69,-6.41
53.113,-24.106,2029,-69.64,-5.76
49.878,-24.055,2029,-69.61,-6.99
46.54,-24.113,2029,-69.62,-8.38
43.303,-24.173,2029,-69.38,-8.22
40.068,-24.122,2029,-69.14,-7.26
36.833,-24.071,2029,-69.28,-7.52
33.598,-24.02,2029,-69.02,-7.28
30.361,-24.08,2029,-69.29,-7.21
27.226,-24.141,2029,-69.43,-7.07
24.092,-24.092,2029,-69.5,-5.5
20.857,-24.041,2029,-69.48,-4.82
