X (m),Y (m),Z (m),RX_sim,delta
-65.782,-3.395,1980.5,-58.45,3.05
-68.125,-4.466,1980.5,-59.12,0.22
-70.762,-4.978,1980.5,-59.57,-4.63
-73.588,-4.602,1980.5,-59.48,-4.52
-78.498,-1.754,1980.5,-59.14,2.14
-80.387,0.27,1980.5,-60.76,-1.94
-82.073,2.402,1980.5,-72.07,9.07
-83.556,4.531,1980.5,-58.09,-3.51
-84.837,6.656,1980.5,-58.11,-3.39
-86.223,8.562,1980.5,-58.61,-2.89
-87.61,10.357,1980.5,-59.59,-1.91
-89.2,12.155,1980.5,-59.69,-5.11
-90.592,13.617,1980.5,-61.14,-7.86
-92.086,15.081,1980.5,-60.97,-6.83
-95.596,16.909,1980.5,-61.86,-7.24
-97.824,16.723,1980.5,-61.64,-9.66
-102.518,14.027,1980.5,-60.55,-11.15
-104.774,12.068,1980.5,-60.62,-10.08
-106.824,10.327,1980.5,-59.76,-9.44
-108.669,8.694,1980.5,-59.85,-8.25
-110.615,7.174,1980.5,-60.53,-12.07
-112.462,5.43,1980.5,-59.68,-7.62
-114.512,3.689,1980.5,-58.71,-15.69
-116.459,2.058,1980.5,-74.62,4.62
-120.728,0.685,1980.5,-74.02,13.22
-122.942,1.385,1979.5,-62.77,3.97
-124.535,2.961,1979.5,-59.96,-0.34
-125.717,4.974,1979.5,-60.9,3.0
-126.696,6.984,1979.5,-60.54,-3.56
-127.672,9.216,1979.5,-61.58,-10.42
-128.646,11.558,1979.5,-60.43,-11.47
-129.722,13.902,1979.5,-61.05,-17.85
-130.801,16.024,1979.5,-61.67,-16.83
-131.777,18.256,1979.5,-62.02,-11.18
-132.751,20.598,1979.5,-64.44,-9.86
-133.525,22.826,1981.5,-61.88,-12.02
-134.501,25.058,1981.5,-61.65,-12.95
-135.578,27.291,1981.5,-62.59,-13.61
-136.752,29.747,1981.5,-62.47,-16.23
-137.929,32.092,1981.5,-65.0,-11.8
-139.008,34.215,1981.5,-95.79,21.69
-140.19,36.228,1981.5,-90.05,14.35
-141.472,38.243,1981.5,-101.14,22.24
-142.656,40.145,1981.5,-100.48,28.48
-143.736,42.156,1981.5,-102.19,30.29
-144.915,44.391,1981.5,-102.99,30.09
-146.094,46.515,1981.5,-109.13,33.13
-148.866,50.326,1982.5,-115.06,45.56
-150.047,52.339,1982.5,-95.97,26.47
-151.229,54.352,1987.5,-93.35,19.55
-152.207,56.473,1987.5,-93.31,19.61
-152.887,58.257,1987.5,-96.63,19.93
-153.568,59.929,1987.5,-96.3,21.3
-154.863,61.169,1987.5,-95.61,28.81
-157.084,61.425,1987.5,-96.23,27.23
-159.132,59.796,1987.5,-95.66,29.56
-160.186,57.042,1987.5,-96.98,32.08
-158.566,50.812,1982.5,-98.66,24.86
-156.486,48.009,1982.5,-98.78,26.28
-154.299,45.647,1982.5,-91.57,12.17
-152.314,43.289,1982.5,-97.09,21.89
-150.428,41.043,1982.5,-94.93,17.83
-148.847,38.691,1982.5,-100.81,24.61
-147.064,36.336,1981.5,-115.58,37.08
-145.077,34.089,1981.5,-100.06,22.26
-142.987,31.951,1981.5,-67.17,-13.73
-141.103,29.594,1981.5,-62.4,-17.9
-139.421,27.241,1981.5,-62.85,-17.05
-137.842,24.778,1981.5,-61.84,-16.66
-136.463,22.429,1979.5,-65.97,-10.03
-135.189,19.861,1979.5,-64.92,-11.08
-134.015,17.404,1979.5,-62.53,-13.17
-133.04,15.062,1979.5,-61.67,-15.43
-132.265,12.945,1979.5,-60.72,-10.58
-130.215,8.259,1979.5,-60.02,-4.18
-127.77,3.012,1979.5,-60.55,-9.45
-126.599,0.334,1979.5,-74.21,9.61
-125.53,-2.453,1979.5,-73.94,3.44
-124.563,-5.238,1979.5,-74.64,-1.16
-123.496,-8.136,1979.5,-77.46,-3.14
-122.432,-11.144,1975.5,-70.27,-8.73
-121.368,-14.264,1975.5,-77.64,-6.26
-120.3,-17.05,1976.5,-79.13,-8.27
-119.434,-19.834,1976.5,-78.67,-33.43
-118.665,-22.395,1976.5,-78.7,-8.0
-117.031,-27.739,1976.5,-77.24,-10.36
-116.365,-30.409,1976.5,-76.43,-43.57
-115.5,-33.304,1976.5,-120.0,0.0
-113.775,-39.314,1976.5,-72.74,-47.26
-111.142,-51.877,1973.5,-83.01,0.71
-110.579,-54.656,1973.5,-83.41,-5.49
-110.117,-57.433,1973.5,-85.53,-5.97
-109.653,-60.1,1973.5,-77.09,-15.11
-109.19,-62.766,1973.5,-79.99,-40.01
-108.624,-65.324,1973.5,-77.83,-32.77
-108.158,-67.88,1973.5,-78.06,-27.74
-107.794,-70.434,1973.5,-77.51,-18.39
-107.33,-73.101,1973.5,-76.16,-43.84
-106.87,-75.989,1973.5,-77.6,-42.4
-106.313,-79.1,1973.5,-76.68,-40.42
-104.999,-85.547,1973.5,-75.27,-13.63
-104.188,-91.876,1973.5,-70.8,-15.9
-103.829,-94.763,1973.5,-70.24,-17.46
-103.57,-97.537,1973.5,-71.66,-10.54
-103.206,-100.091,1973.5,-71.52,-13.68
-102.84,-102.535,1974.5,-70.51,-15.89
-102.27,-104.87,1974.5,-72.16,-13.34
-101.801,-107.205,1974.5,-73.09,-15.01
-101.336,-109.761,1974.5,-69.42,-25.98
-100.773,-112.54,1974.5,-71.77,-26.33
-100.313,-115.428,1974.5,-69.49,-22.41
-100.053,-118.202,1974.5,-71.08,-19.62
-99.891,-120.753,1974.5,-71.71,-17.49
-99.628,-123.306,1974.5,-80.53,-19.87
-99.166,-126.083,1974.5,-78.49,-14.01
-98.806,-128.859,1974.5,-81.57,-12.13
-98.447,-131.745,1974.5,-82.75,-11.15
-97.987,-134.634,1974.5,-81.49,-38.51
-97.525,-137.411,1974.5,-76.82,-36.88
-96.962,-140.19,1974.5,-82.71,-37.29
-96.498,-142.857,1974.5,-84.88,-6.72
-96.036,-145.634,1974.5,-85.25,-9.55
76.819,-98.386,1979.5,-120.0,4.1
78.975,-96.315,1979.5,-104.43,-15.57
82.677,-92.384,1979.5,-104.12,-15.88
51.136,196.869,1995.5,-120.0,20.7
41.037,191.266,1997.5,-120.0,0.0
38.788,189.75,1997.5,-120.0,0.0
34.688,186.269,1997.5,-89.38,-10.52
32.738,184.416,1997.5,-102.27,-17.73
30.685,182.454,1997.5,-90.74,-29.26
28.429,180.495,1997.5,-89.41,-25.39
26.172,178.426,1997.5,-89.66,-30.34
17.847,169.914,1997.5,-89.89,-30.11
8.201,160.98,1997.5,-103.82,1.82
6.348,158.904,1997.5,-90.49,-12.11
4.701,157.047,1997.5,-85.37,-29.53
-2.795,149.852,1997.5,-91.06,-27.24
-44.226,119.59,1993.5,-106.11,4.71
-45.866,118.176,1993.5,-105.46,-14.54
-47.607,116.763,1993.5,-109.46,-10.54
-62.512,107.801,1990.5,-81.89,-30.71
-64.966,106.067,1988.5,-100.94,-19.06
-67.421,104.333,1988.5,-88.68,-31.32
-74.616,96.912,1988.5,-95.66,-4.24
-74.147,94.577,1988.5,-86.19,-19.71
-71.676,90.993,1988.5,-84.15,-24.75
-69.983,89.304,1988.5,-84.07,-18.53
-68.289,87.726,1988.5,-86.4,-18.7
-66.391,86.255,1988.5,-86.86,-19.54
-8.889,64.739,1990.5,-67.7,-32.4
-10.076,66.42,1990.5,-72.33,-24.57
-11.263,68.101,1990.5,-72.0,-32.0
-12.243,70.111,1990.5,-71.41,-28.09
-13.932,72.021,1990.5,-120.0,20.5
-15.31,74.37,1990.5,-75.81,-23.69
-16.483,76.937,1990.5,-80.15,-28.15
-17.963,79.287,1990.5,-77.97,-28.03
-19.547,81.417,1990.5,-71.39,-37.01
-21.233,83.549,1995.5,-75.64,-31.06
-23.018,85.793,1995.5,-75.56,-31.74
-24.902,88.15,1995.5,-75.24,-31.26
-26.784,90.617,1995.5,-79.43,-27.77
-29.073,92.98,1995.5,-79.31,-26.79
-30.962,95.004,1995.5,-79.0,-32.3
-32.75,97.027,1995.5,-80.43,-29.47
-34.335,99.157,1995.5,-80.03,-32.67
-35.415,101.169,1990.5,-85.74,-26.96
-36.29,103.399,1990.5,-87.68,-25.02
-37.057,106.07,1990.5,-93.4,-20.1
-37.622,108.738,1990.5,-93.1,-20.4
-38.388,111.41,1990.5,-100.89,-9.21
-39.567,113.644,1993.5,-102.99,-7.11
-41.566,115.116,1993.5,-103.72,-3.78
-44.395,115.272,1993.5,-103.64,-3.86
-47.646,114.326,1993.5,-105.58,-1.92
-50.907,112.715,1990.5,-113.1,8.7
-54.271,110.995,1990.5,-115.86,11.46
-57.433,109.272,1990.5,-102.06,-2.34
-60.494,107.548,1990.5,-97.33,-8.97
-63.457,105.6,1988.5,-99.79,-10.41
-66.019,103.424,1988.5,-99.75,-10.45
-68.378,101.356,1988.5,-88.84,-21.36
-70.537,99.063,1988.5,-95.98,-8.92
-71.995,96.427,1988.5,-94.76,-10.14
-72.544,93.666,1988.5,-85.98,-21.22
-71.874,91.217,1988.5,-85.65,-21.95
-70.287,89.309,1988.5,-83.92,-23.68
-67.988,87.61,1988.5,-85.47,-19.83
-65.282,86.016,1988.5,-86.55,-20.45
-62.682,84.202,1990.5,-88.13,-18.87
-60.188,82.058,1989.5,-84.79,-20.51
-57.896,79.916,1989.5,-86.38,-18.22
-55.806,77.778,1989.5,-85.62,-20.88
-54.117,75.868,1989.5,-80.8,-22.9
-52.623,74.404,1989.5,-84.74,-22.66
-51.133,72.718,1989.5,-84.74,-18.96
-49.245,70.583,1989.5,-84.18,-19.42
-46.96,67.999,1989.5,-75.46,-32.84
-44.677,65.303,1989.5,-85.46,-19.44
-42.495,62.61,1989.5,-71.19,-34.01
-40.313,59.916,1989.5,-71.43,-34.57
-38.429,57.559,1989.5,-71.16,-28.54
-36.844,55.429,1989.5,-72.02,-26.98
-35.159,53.297,1990.5,-70.48,-30.02
-33.374,51.053,1986.5,-71.44,-27.26
-31.389,48.695,1986.5,-70.85,-32.65
-29.302,46.335,1986.5,-96.25,-5.85
-27.216,43.975,1986.5,-74.63,-31.07
-25.231,41.617,1986.5,-72.78,-31.32
-23.345,39.371,1986.5,-65.98,-42.22
-21.457,37.236,1986.5,-68.18,-32.62
-19.472,34.878,1986.5,-67.42,-36.48
-17.586,32.632,1986.5,-65.96,-36.74
-15.601,30.274,1986.5,-72.46,-28.24
-13.717,27.917,1986.5,-74.01,-28.69
-11.834,25.45,1986.5,-73.8,-31.4
-10.053,22.984,1986.5,-73.4,-31.0
-8.176,20.184,1983.5,-120.0,17.1
-6.301,17.274,1983.5,-73.98,-31.12
-4.326,14.251,1983.5,-72.6,-33.5
-2.353,11.118,1983.5,-73.98,-33.62
-0.479,8.096,1983.5,-73.44,-33.26
1.4,5.407,1983.5,-66.44,-42.16
2.979,2.945,1983.5,-66.74,-38.86
4.359,0.707,1983.5,-66.75,-40.25
5.738,-1.642,1983.5,-67.92,-39.58
7.117,-3.99,1983.5,-70.41,-33.69
8.898,-6.456,1983.5,-69.82,-33.38
13.074,-10.954,1979.5,-73.42,-32.08
15.375,-12.542,1979.5,-73.09,-35.61
17.986,-13.691,1979.5,-73.62,-33.98
20.506,-14.174,1981.5,-74.68,-31.22
23.135,-14.215,1981.5,-75.61,-30.29
28.307,-13.3,1981.5,-76.2,-29.7
31.043,-12.899,1981.5,-74.43,-35.27
33.569,-13.05,1981.5,-120.0,17.1
36.386,-13.981,1981.5,-120.0,12.5
39.293,-15.578,1981.5,-72.54,-27.36
41.893,-17.392,1981.5,-70.44,-34.26
44.499,-18.873,1981.5,-71.04,-36.66
47.109,-20.133,1982.5,-69.55,-39.45
49.521,-21.058,1982.5,-70.3,-38.7
52.132,-22.207,1982.5,-72.01,-36.89
54.536,-23.685,1982.5,-70.98,-37.92
56.929,-25.828,1982.5,-71.12,-37.78
59.013,-28.299,1982.5,-72.66,-37.14
60.793,-30.875,1982.5,-80.01,-28.69
62.372,-33.338,1982.5,-81.83,-26.87
64.056,-35.581,1982.5,-80.54,-28.16
65.741,-37.713,1982.5,-80.95,-28.55
68.903,-42.416,1979.5,-111.55,-0.35
70.175,-45.095,1979.5,-120.0,8.9
71.242,-47.993,1979.5,-120.0,9.5
72.005,-50.886,1979.5,-85.69,-25.01
72.767,-53.89,1979.5,-120.0,7.7
73.53,-56.783,1979.5,-89.41,-22.09
75.003,-59.576,1980.5,-85.51,-24.59
76.985,-62.156,1980.5,-81.7,-38.3
79.38,-64.188,1980.5,-87.76,-32.24
81.984,-65.78,1980.5,-82.89,-37.11
84.998,-67.047,1980.5,-91.81,-28.19
87.811,-68.199,1980.5,-87.4,-32.6
90.424,-69.238,1980.5,-87.23,-32.77
92.731,-70.382,1980.5,-91.18,-28.82
94.936,-71.636,1980.5,-118.87,-1.13
29.457,104.578,1991.5,-116.36,-0.04
28.327,103.488,1991.5,-112.38,-6.82
28.287,100.94,1991.5,-119.65,-0.35
84.982,60.268,1988.5,-86.27,-22.93
83.024,57.972,1988.5,-82.24,-25.36
80.976,56.342,1988.5,-83.85,-28.65
78.623,54.606,1988.5,-83.55,-26.65
76.17,52.983,1989.5,-88.25,-20.05
71.569,49.731,1984.5,-82.45,-30.85
69.217,48.106,1984.5,-80.9,-28.0
66.967,46.479,1984.5,-120.0,0.0
64.816,44.741,1984.5,-77.03,-31.07
62.463,43.005,1984.5,-77.21,-32.69
60.213,41.378,1984.5,-77.87,-29.33
57.962,39.752,1984.5,-71.82,-39.48
55.611,38.127,1984.5,-73.48,-34.22
53.359,36.389,1984.5,-75.39,-25.31
51.004,34.543,1984.5,-76.06,-26.64
48.55,32.808,1984.5,-76.41,-26.59
46.193,30.851,1984.5,-74.93,-32.17
43.739,29.117,1984.5,-74.48,-27.02
41.285,27.383,1984.5,-75.61,-28.29
38.829,25.538,1984.5,-75.95,-27.85
36.476,23.802,1984.5,-77.7,-26.9
34.021,22.068,1984.5,-77.73,-21.17
31.769,20.33,1984.5,-77.17,-28.33
29.617,18.481,1982.5,-79.0,-22.8
27.466,16.742,1982.5,-79.23,-27.37
25.316,15.114,1982.5,-78.97,-24.03
23.068,13.598,1982.5,-78.95,-27.15
20.615,11.974,1982.5,-83.33,-18.67
18.165,10.462,1983.5,-73.31,-32.49
13.361,7.213,1983.5,-74.67,-28.33
11.007,5.477,1983.5,-66.34,-38.56
8.858,3.849,1983.5,-65.97,-38.83
6.913,2.329,1983.5,-67.17,-35.33
5.172,0.916,1983.5,-66.72,-39.58
3.53,-0.61,1983.5,-67.19,-39.21
1.684,-2.243,1983.5,-66.86,-40.34
-0.364,-3.872,1983.5,-70.47,-33.83
-2.615,-5.499,1983.5,-70.5,-36.8
-4.966,-7.124,1983.5,-71.24,-38.66
-7.52,-8.746,1983.5,-72.86,-33.54
-10.077,-10.589,1981.5,-77.66,-28.94
-12.732,-12.209,1981.5,-78.77,-29.53
-15.188,-14.054,1981.5,-80.1,-28.2
-17.642,-15.789,1981.5,-120.0,11.6
-22.658,-19.698,1981.5,-81.65,-26.85
-25.118,-21.765,1981.5,-78.27,-33.13
-27.478,-23.944,1981.5,-81.41,-25.29
-30.037,-25.898,1981.5,-77.75,-33.55
-55.31,-44.669,1975.5,-81.42,-17.98
-57.457,-46.186,1975.5,-79.44,-21.76
-59.605,-47.703,1975.5,-81.02,-17.18
-61.857,-49.441,1975.5,-80.86,-39.14
-63.607,-51.408,1975.5,-80.97,-12.93
-64.55,-53.498,1975.5,-80.35,-19.45
-61.723,-60.191,1975.5,-80.44,-26.36
-59.937,-62.324,1975.5,-79.69,-20.11
-58.049,-64.459,1975.5,-82.2,-18.3
-56.262,-66.593,1975.5,-90.88,-9.62
-54.676,-68.612,1975.5,-87.81,-18.09
-52.987,-70.523,1975.5,-84.87,-30.43
-51.3,-72.544,1974.5,-89.02,-30.98
-96.893,-123.016,1974.5,-74.5,-12.7
-97.346,-119.685,1974.5,-71.98,-31.82
-97.601,-116.579,1974.5,-70.69,-18.51
-97.855,-113.472,1974.5,-70.73,-17.97
-98.313,-110.473,1974.5,-70.98,-18.82
-98.77,-107.363,1974.5,-69.84,-20.86
-99.225,-104.143,1974.5,-69.99,-18.31
